account_id,account_name,region,company_size,industry,employee_band,account_created_date
1,"Simulated Account 001",EMEA,SMB,Technology,50-249,2023-03-02
2,"Simulated Account 002",NA,Mid-market,Manufacturing,250-999,2023-04-12
3,"Simulated Account 003",APAC,Enterprise,Healthcare,1000+,2023-05-23
4,"Simulated Account 004",EMEA,SMB,"Financial Services",50-249,2023-07-03
5,"Simulated Account 005",NA,Mid-market,"Professional Services",250-999,2023-08-13
6,"Simulated Account 006",APAC,Enterprise,Technology,1000+,2023-09-23
7,"Simulated Account 007",NA,SMB,Manufacturing,50-249,2023-11-03
8,"Simulated Account 008",LATAM,SMB,Healthcare,50-249,2023-12-14
9,"Simulated Account 009",EMEA,Mid-market,"Financial Services",250-999,2024-01-24
10,"Simulated Account 010",NA,Enterprise,"Professional Services",1000+,2024-03-05
11,"Simulated Account 011",APAC,SMB,Technology,50-249,2024-04-15
12,"Simulated Account 012",EMEA,Mid-market,Manufacturing,250-999,2024-05-26
13,"Simulated Account 013",NA,Enterprise,Healthcare,1000+,2024-07-06
14,"Simulated Account 014",APAC,SMB,"Financial Services",50-249,2024-08-16
15,"Simulated Account 015",NA,Mid-market,"Professional Services",250-999,2024-09-26
16,"Simulated Account 016",LATAM,Mid-market,Technology,250-999,2024-11-06
17,"Simulated Account 017",EMEA,SMB,Manufacturing,50-249,2024-12-17
18,"Simulated Account 018",NA,SMB,Healthcare,50-249,2023-01-28
19,"Simulated Account 019",APAC,Mid-market,"Financial Services",250-999,2023-03-10
20,"Simulated Account 020",EMEA,Enterprise,"Professional Services",1000+,2023-04-20
21,"Simulated Account 021",NA,SMB,Technology,50-249,2023-05-31
22,"Simulated Account 022",APAC,Mid-market,Manufacturing,250-999,2023-07-11
23,"Simulated Account 023",EMEA,Mid-market,Healthcare,250-999,2023-08-21
24,"Simulated Account 024",NA,SMB,"Financial Services",50-249,2023-10-01
25,"Simulated Account 025",EMEA,SMB,"Professional Services",50-249,2023-11-11
26,"Simulated Account 026",NA,Mid-market,Technology,250-999,2023-12-22
27,"Simulated Account 027",APAC,Enterprise,Manufacturing,1000+,2024-02-01
28,"Simulated Account 028",EMEA,SMB,Healthcare,50-249,2024-03-13
29,"Simulated Account 029",NA,Mid-market,"Financial Services",250-999,2024-04-23
30,"Simulated Account 030",APAC,Mid-market,"Professional Services",250-999,2024-06-03
31,"Simulated Account 031",EMEA,SMB,Technology,50-249,2024-07-14
32,"Simulated Account 032",NA,SMB,Manufacturing,50-249,2024-08-24
33,"Simulated Account 033",APAC,Mid-market,Healthcare,250-999,2024-10-04
34,"Simulated Account 034",NA,Enterprise,"Financial Services",1000+,2024-11-14
35,"Simulated Account 035",LATAM,SMB,"Professional Services",50-249,2024-12-25
36,"Simulated Account 036",EMEA,Mid-market,Technology,250-999,2023-02-05
37,"Simulated Account 037",NA,Enterprise,Manufacturing,1000+,2023-03-18
38,"Simulated Account 038",APAC,SMB,Healthcare,50-249,2023-04-28
39,"Simulated Account 039",EMEA,SMB,"Financial Services",50-249,2023-06-08
40,"Simulated Account 040",NA,Mid-market,"Professional Services",250-999,2023-07-19
41,"Simulated Account 041",APAC,Enterprise,Technology,1000+,2023-08-29
42,"Simulated Account 042",NA,SMB,Manufacturing,50-249,2023-10-09
43,"Simulated Account 043",LATAM,Mid-market,Healthcare,250-999,2023-11-19
44,"Simulated Account 044",EMEA,Enterprise,"Financial Services",1000+,2023-12-30
45,"Simulated Account 045",NA,SMB,"Professional Services",50-249,2024-02-09
46,"Simulated Account 046",APAC,Mid-market,Technology,250-999,2024-03-21
47,"Simulated Account 047",EMEA,Mid-market,Manufacturing,250-999,2024-05-01
48,"Simulated Account 048",NA,Enterprise,Healthcare,1000+,2024-06-11
49,"Simulated Account 049",APAC,SMB,"Financial Services",50-249,2024-07-22
50,"Simulated Account 050",EMEA,Mid-market,"Professional Services",250-999,2024-09-01
51,"Simulated Account 051",NA,Enterprise,Technology,1000+,2024-10-12
52,"Simulated Account 052",EMEA,SMB,Manufacturing,50-249,2024-11-22
53,"Simulated Account 053",NA,Mid-market,Healthcare,250-999,2023-01-03
54,"Simulated Account 054",LATAM,Mid-market,"Financial Services",250-999,2023-02-13
55,"Simulated Account 055",EMEA,SMB,"Professional Services",50-249,2023-03-26
56,"Simulated Account 056",NA,SMB,Technology,50-249,2023-05-06
57,"Simulated Account 057",APAC,Mid-market,Manufacturing,250-999,2023-06-16
58,"Simulated Account 058",EMEA,Enterprise,Healthcare,1000+,2023-07-27
59,"Simulated Account 059",NA,SMB,"Financial Services",50-249,2023-09-06
60,"Simulated Account 060",APAC,Mid-market,"Professional Services",250-999,2023-10-17
61,"Simulated Account 061",NA,Mid-market,Technology,250-999,2023-11-27
62,"Simulated Account 062",LATAM,SMB,Manufacturing,50-249,2024-01-07
63,"Simulated Account 063",EMEA,SMB,Healthcare,50-249,2024-02-17
