activity_id,opportunity_id,activity_date,activity_type,channel,activity_status
11,1,2025-06-19,Demo,Email,Completed
12,1,2025-06-25,Email,Phone,Completed
13,1,2025-07-01,Meeting,Video,Completed
14,1,2025-07-07,"Proposal Follow-up",In-person,Completed
21,2,2026-03-01,"Proposal Follow-up",In-person,Completed
22,2,2026-03-03,Call,Email,Completed
23,2,2026-03-09,Demo,Phone,Completed
24,2,2026-03-15,Email,Video,Completed
31,3,2025-07-15,Email,Video,"No Response"
32,3,2025-07-21,Meeting,In-person,Completed
33,3,2025-07-23,"Proposal Follow-up",Email,Completed
41,4,2026-03-23,Call,Phone,Completed
42,4,2026-03-29,Demo,Video,Completed
43,4,2026-04-04,Email,In-person,Completed
44,4,2026-04-06,Meeting,Email,Completed
51,5,2025-08-06,Meeting,Email,Completed
52,5,2025-08-12,"Proposal Follow-up",Phone,Completed
53,5,2025-08-18,Call,Video,Completed
54,5,2025-08-24,Demo,In-person,Completed
61,6,2026-04-18,Demo,In-person,Completed
62,6,2026-04-20,Email,Email,"No Response"
63,6,2026-04-26,Meeting,Phone,Completed
71,7,2025-09-01,"Proposal Follow-up",Video,"No Response"
72,7,2025-09-07,Call,In-person,Completed
73,7,2025-09-09,Demo,Email,Completed
74,7,2025-09-15,Email,Phone,Completed
81,8,2025-01-15,Email,Phone,Completed
82,8,2025-01-21,Meeting,Video,Completed
83,8,2025-01-27,"Proposal Follow-up",In-person,Completed
91,9,2025-09-23,Call,Email,Completed
92,9,2025-09-29,Demo,Phone,Completed
93,9,2025-10-05,Email,Video,"No Response"
94,9,2025-10-11,Meeting,In-person,Completed
101,10,2025-02-10,Meeting,In-person,Completed
102,10,2025-02-12,"Proposal Follow-up",Email,"No Response"
103,10,2025-02-18,Call,Phone,Completed
104,10,2025-02-24,Demo,Video,Completed
105,10,2025-03-02,Email,In-person,Completed
111,11,2025-10-19,Demo,Video,Completed
112,11,2025-10-25,Email,In-person,Completed
113,11,2025-10-27,Meeting,Email,Completed
114,11,2025-11-02,"Proposal Follow-up",Phone,Completed
121,12,2025-03-04,"Proposal Follow-up",Phone,Completed
122,12,2025-03-10,Call,Video,Completed
123,12,2025-03-16,Demo,In-person,Completed
124,12,2025-03-18,Email,Email,"No Response"
131,13,2025-03-15,Email,Email,Completed
132,13,2025-03-21,Meeting,Phone,Completed
133,13,2025-03-27,"Proposal Follow-up",Video,Completed
141,14,2025-11-25,Call,In-person,Completed
142,14,2025-11-27,Demo,Email,Completed
143,14,2025-12-03,Email,Phone,Completed
144,14,2025-12-09,Meeting,Video,Completed
151,15,2025-04-10,Meeting,Video,Completed
152,15,2025-04-16,"Proposal Follow-up",In-person,Completed
153,15,2025-04-18,Call,Email,Completed
154,15,2025-04-24,Demo,Phone,Completed
161,16,2025-12-17,Demo,Phone,"No Response"
162,16,2025-12-23,Email,Video,Completed
171,17,2025-05-02,"Proposal Follow-up",Email,Completed
172,17,2025-05-08,Call,Phone,Completed
181,18,2026-01-12,Email,In-person,Completed
182,18,2026-01-14,Meeting,Email,Completed
183,18,2026-01-20,"Proposal Follow-up",Phone,Completed
184,18,2026-01-26,Call,Video,Completed
191,19,2025-05-28,Call,Video,Completed
192,19,2025-06-03,Demo,In-person,"No Response"
193,19,2025-06-05,Email,Email,Completed
194,19,2025-06-11,Meeting,Phone,Completed
201,20,2026-02-03,Meeting,Phone,"No Response"
202,20,2026-02-09,"Proposal Follow-up",Video,Completed
203,20,2026-02-15,Call,In-person,Completed
211,21,2025-06-19,Demo,Email,Completed
212,21,2025-06-25,Email,Phone,Completed
221,22,2026-03-01,"Proposal Follow-up",In-person,Completed
222,22,2026-03-03,Call,Email,Completed
223,22,2026-03-09,Demo,Phone,"No Response"
224,22,2026-03-15,Email,Video,Completed
231,23,2025-07-15,Email,Video,Completed
232,23,2025-07-21,Meeting,In-person,Completed
233,23,2025-07-23,"Proposal Follow-up",Email,Completed
234,23,2025-07-29,Call,Phone,Completed
241,24,2026-03-23,Call,Phone,Completed
242,24,2026-03-29,Demo,Video,Completed
243,24,2026-04-04,Email,In-person,Completed
251,25,2025-08-06,Meeting,Email,Completed
252,25,2025-08-12,"Proposal Follow-up",Phone,Completed
253,25,2025-08-18,Call,Video,Completed
254,25,2025-08-24,Demo,In-person,"No Response"
261,26,2026-04-18,Demo,In-person,Completed
262,26,2026-04-20,Email,Email,Completed
263,26,2026-04-26,Meeting,Phone,Completed
264,26,2026-05-02,"Proposal Follow-up",Video,Completed
271,27,2026-04-29,"Proposal Follow-up",Video,Completed
272,27,2026-05-05,Call,In-person,Completed
273,27,2026-05-07,Demo,Email,Completed
274,27,2026-05-13,Email,Phone,Completed
275,27,2026-05-19,Meeting,Video,Completed
281,28,2025-09-12,Email,Phone,Completed
282,28,2025-09-18,Meeting,Video,Completed
283,28,2025-09-24,"Proposal Follow-up",In-person,Completed
284,28,2025-09-26,Call,Email,Completed
291,29,2025-01-26,Call,Email,"No Response"
292,29,2025-02-01,Demo,Phone,Completed
293,29,2025-02-07,Email,Video,Completed
294,29,2025-02-13,Meeting,In-person,Completed
301,30,2025-10-08,Meeting,In-person,Completed
302,30,2025-10-10,"Proposal Follow-up",Email,Completed
303,30,2025-10-16,Call,Phone,Completed
311,31,2025-02-21,Demo,Video,Completed
312,31,2025-02-27,Email,In-person,Completed
313,31,2025-03-01,Meeting,Email,Completed
314,31,2025-03-07,"Proposal Follow-up",Phone,Completed
321,32,2025-10-30,"Proposal Follow-up",Phone,Completed
322,32,2025-11-05,Call,Video,"No Response"
323,32,2025-11-11,Demo,In-person,Completed
324,32,2025-11-13,Email,Email,Completed
331,33,2025-03-15,Email,Email,"No Response"
332,33,2025-03-21,Meeting,Phone,Completed
333,33,2025-03-27,"Proposal Follow-up",Video,Completed
334,33,2025-04-02,Call,In-person,Completed
341,34,2025-11-25,Call,In-person,Completed
342,34,2025-11-27,Demo,Email,Completed
343,34,2025-12-03,Email,Phone,Completed
344,34,2025-12-09,Meeting,Video,"No Response"
345,34,2025-12-15,"Proposal Follow-up",In-person,Completed
351,35,2025-04-10,Meeting,Video,Completed
352,35,2025-04-16,"Proposal Follow-up",In-person,Completed
353,35,2025-04-18,Call,Email,"No Response"
354,35,2025-04-24,Demo,Phone,Completed
355,35,2025-04-30,Email,Video,Completed
361,36,2025-12-17,Demo,Phone,Completed
362,36,2025-12-23,Email,Video,Completed
363,36,2025-12-29,Meeting,In-person,Completed
364,36,2025-12-31,"Proposal Follow-up",Email,Completed
365,36,2026-01-06,Call,Phone,Completed
371,37,2025-05-02,"Proposal Follow-up",Email,Completed
372,37,2025-05-08,Call,Phone,Completed
373,37,2025-05-14,Demo,Video,Completed
374,37,2025-05-20,Email,In-person,Completed
381,38,2026-01-12,Email,In-person,Completed
382,38,2026-01-14,Meeting,Email,Completed
383,38,2026-01-20,"Proposal Follow-up",Phone,Completed
384,38,2026-01-26,Call,Video,"No Response"
391,39,2025-05-28,Call,Video,Completed
392,39,2025-06-03,Demo,In-person,Completed
393,39,2025-06-05,Email,Email,Completed
394,39,2025-06-11,Meeting,Phone,Completed
401,40,2026-02-03,Meeting,Phone,Completed
402,40,2026-02-09,"Proposal Follow-up",Video,Completed
403,40,2026-02-15,Call,In-person,Completed
411,41,2026-02-14,Demo,Email,Completed
412,41,2026-02-20,Email,Phone,Completed
413,41,2026-02-26,Meeting,Video,Completed
421,42,2025-07-04,"Proposal Follow-up",In-person,"No Response"
422,42,2025-07-06,Call,Email,Completed
423,42,2025-07-12,Demo,Phone,Completed
424,42,2025-07-18,Email,Video,Completed
425,42,2025-07-24,Meeting,In-person,Completed
431,43,2026-03-12,Email,Video,Completed
432,43,2026-03-18,Meeting,In-person,Completed
441,44,2025-07-26,Call,Phone,Completed
442,44,2025-08-01,Demo,Video,Completed
443,44,2025-08-07,Email,In-person,"No Response"
451,45,2026-04-03,Meeting,Email,Completed
452,45,2026-04-09,"Proposal Follow-up",Phone,"No Response"
