onboarding_id,opportunity_id,account_id,won_date,onboarding_start_date,activation_date,onboarding_status,sla_due_date,sla_status,implementation_tier
2,2,64,2026-04-28,2026-05-01,2026-06-13,Activated,2026-05-31,Breached,Standard
3,3,81,2025-08-28,2025-08-31,2025-10-07,Activated,2025-09-30,Breached,Standard
8,8,166,2025-03-07,2025-03-09,2025-04-09,Activated,2025-04-06,Breached,Standard
10,10,200,2025-03-28,2025-03-30,2025-04-16,Activated,2025-04-27,Attained,Guided
15,15,45,2025-06-04,2025-06-06,2025-07-03,Activated,2025-07-04,Attained,Guided
23,23,181,2025-09-23,2025-09-24,2025-10-15,Activated,2025-10-24,Attained,Standard
30,30,60,2025-12-02,2025-12-03,2025-12-26,Activated,2026-01-02,Attained,Guided
32,32,94,2025-12-06,2025-12-09,2026-01-09,Activated,2026-01-06,Breached,Standard
33,33,111,2025-05-19,2025-05-22,2025-06-15,Activated,2025-06-19,Attained,Standard
41,41,7,2026-04-06,2026-04-09,2026-04-30,Activated,2026-05-07,Attained,Standard
43,43,41,2026-05-08,2026-05-10,,"In Progress",2026-06-24,Pending,Guided
44,44,58,2025-09-29,2025-10-01,2025-10-31,Activated,2025-11-15,Attained,Guided
46,46,92,2025-09-26,2025-09-28,2025-10-25,Activated,2025-10-28,Attained,Standard
58,58,56,2025-07-09,2025-07-10,2025-07-27,Activated,2025-08-07,Attained,Standard
59,59,73,2026-03-26,2026-03-27,2026-04-06,Activated,2026-04-24,Attained,Standard
61,61,107,2026-03-27,2026-03-30,2026-04-26,Activated,2026-04-27,Attained,Standard
71,71,37,2025-12-26,2025-12-29,2026-01-16,Activated,2026-02-12,Attained,Guided
74,74,88,2025-05-29,2025-05-31,2025-07-01,Activated,2025-06-30,Breached,Standard
77,77,139,2026-02-18,2026-02-20,2026-03-22,Activated,2026-03-20,Breached,Standard
87,87,69,2025-10-27,2025-10-28,2025-11-18,Activated,2025-11-25,Attained,Standard
97,97,239,2026-02-12,2026-02-14,2026-03-07,Activated,2026-03-14,Attained,Standard
99,99,33,2025-07-09,2025-07-12,2025-08-10,Activated,2025-08-11,Attained,Standard
100,100,50,2026-04-12,2026-04-15,2026-05-08,Activated,2026-05-15,Attained,Guided
105,105,135,2025-09-30,2025-10-02,2025-10-12,Activated,2025-10-30,Attained,Guided
106,106,152,2026-05-30,2026-06-01,2026-06-12,Activated,2026-06-29,Attained,Standard
